                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78129,                  7.632,                0.63066,                0.52625,                0.89553,                0.99814,                      1,                  0.995,                0.74551,                0.20652,                0.20455,                0.15289,                0.03032,                0.88917,                 7.8436,                0.61607,                0.66187,                0.93302,              0.0011941,              0.0011941,              0.0011941
                     35,                0.84659,                 7.7264,                0.64081,                0.54957,                0.90207,                0.99586,                      1,                  0.995,                0.75616,                0.10291,                0.09091,                0.01797,                0.00414,                 0.8203,                 7.6371,                0.61416,                 0.6389,                0.91775,              0.0012252,              0.0012252,              0.0012252
                     36,                0.81183,                 7.3113,                0.62118,                0.54973,                0.88973,                 0.9976,                      1,                  0.995,                0.77118,                 0.1017,                0.09091,                0.03764,                0.00706,                0.76972,                 7.4112,                0.61263,                0.58089,                0.89874,               0.001256,               0.001256,               0.001256
                     37,                0.78168,                 7.2943,                0.62688,                0.51813,                0.87871,                0.99427,                0.97727,                0.99372,                0.73292,                0.18583,                0.18182,                0.08134,                0.01267,                0.84204,                  7.508,                0.61306,                0.57836,                0.91151,              0.0012866,              0.0012866,              0.0012866
                     38,                0.74273,                 6.8241,                0.59411,                0.49338,                0.88547,                0.95191,                      1,                0.99368,                0.80219,                0.29863,                0.13636,                0.10744,                0.02611,                0.73329,                 7.4884,                0.61518,                0.58705,                0.88623,              0.0013169,              0.0013169,              0.0013169
                     39,                0.74757,                 6.8831,                0.62197,                0.51774,                0.87821,                0.99571,                      1,                  0.995,                0.78256,                0.14191,                0.09091,                0.04518,                0.00616,                0.77971,                 7.2592,                0.61469,                0.64615,                0.90209,              0.0013469,              0.0013469,              0.0013469
                     40,                0.75867,                 6.9733,                0.62015,                0.53152,                0.90507,                      1,                0.99774,                  0.995,                0.78286,                0.22385,                0.15909,                0.05128,                0.00775,                0.79885,                 7.1304,                0.61362,                0.67547,                0.91739,              0.0013767,              0.0013767,              0.0013767
                     41,                   0.76,                 6.7736,                0.60569,                0.52631,                 0.9016,                      1,                0.99782,                  0.995,                 0.7686,                0.23049,                0.15909,                0.04289,                 0.0111,                0.81659,                 7.4731,                0.61337,                0.58008,                0.92252,              0.0014062,              0.0014062,              0.0014062
                     42,                0.81334,                 6.6034,                0.61405,                0.51876,                0.91502,                      1,                0.99577,                  0.995,                0.75552,                0.05068,                0.04545,                0.00563,                0.00124,                0.86218,                 7.1344,                0.61135,                0.65644,                0.93268,              0.0014354,              0.0014354,              0.0014354
                     43,                0.75986,                 6.4294,                0.60891,                0.52189,                0.88944,                0.96232,                0.97727,                0.99281,                0.76971,                0.15507,                0.11364,                0.04613,                0.00664,                0.83696,                 7.1312,                0.61279,                0.87698,                0.91781,              0.0014644,              0.0014644,              0.0014644
                     44,                0.72148,                 6.3454,                0.60728,                0.49744,                0.89655,                0.97236,                      1,                0.99367,                0.80831,                0.08415,                0.04545,                0.01246,                 0.0022,                0.79268,                   7.27,                0.61089,                0.74346,                0.90686,              0.0014931,              0.0014931,              0.0014931
                     45,                0.65781,                 6.3437,                0.60439,                0.48076,                0.89764,                0.99524,                      1,                  0.995,                0.79239,                0.20382,                0.20455,                0.04904,                0.00858,                0.80259,                 6.7523,                0.60645,                0.61406,                 0.9039,              0.0015215,              0.0015215,              0.0015215
                     46,                0.75255,                 6.1749,                0.59747,                0.50902,                0.89798,                0.88933,                0.97727,                0.94108,                0.73773,                 0.1717,                0.09091,                0.03051,                0.00557,                0.84117,                 6.8753,                0.60535,                0.73793,                0.93486,              0.0015497,              0.0015497,              0.0015497
