                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72021,                 3.3038,                0.58137,                0.45469,                 0.8707,                0.58002,                0.66463,                0.69572,                0.51785,                0.59432,                0.43773,                0.49244,                0.16398,                  1.068,                 4.8232,                0.60082,                 1.2236,                  1.011,              0.0017756,              0.0017756,              0.0017756
                     37,                0.68623,                 3.2499,                 0.5748,                0.45444,                0.87643,                0.99866,                0.92073,                0.93433,                0.77379,                0.86576,                0.78651,                0.75895,                0.32075,                0.69476,                 3.1878,                0.59045,                0.49371,                 0.8485,               0.001769,               0.001769,               0.001769
                     38,                0.69377,                 3.1841,                0.56949,                0.44759,                0.88041,                      1,                0.92595,                0.92959,                0.76433,                0.87298,                0.80488,                0.74936,                0.28905,                0.75194,                 3.0114,                0.58845,                0.76204,                0.85029,              0.0017624,              0.0017624,              0.0017624
                     39,                0.70675,                 3.3321,                0.56444,                0.44817,                0.87581,                0.99341,                0.91935,                  0.936,                0.77028,                0.87484,                0.80978,                0.76678,                 0.2708,                0.71554,                 3.2221,                0.58973,                0.47374,                 0.8481,              0.0017558,              0.0017558,              0.0017558
                     40,                0.68379,                 3.1696,                0.56862,                0.43972,                0.87442,                0.99393,                0.92073,                0.92643,                0.77756,                0.79319,                0.73171,                0.65361,                0.23445,                0.67615,                 3.1566,                0.59757,                0.44018,                 0.8453,              0.0017492,              0.0017492,              0.0017492
                     41,                 0.7067,                 3.2427,                0.56656,                0.45487,                0.88334,                0.99259,                0.92683,                0.92502,                0.77538,                0.88809,                0.82927,                0.77806,                0.30972,                0.67857,                 2.9434,                0.59683,                0.43956,                0.83962,              0.0017426,              0.0017426,              0.0017426
                     42,                0.68498,                 3.3203,                0.57592,                0.43623,                0.87538,                0.97348,                0.89521,                0.93321,                 0.7494,                0.83605,                0.74625,                0.73391,                 0.2688,                0.81695,                 3.3571,                0.58558,                0.55419,                0.86831,               0.001736,               0.001736,               0.001736
                     43,                0.69371,                 3.1311,                0.56363,                0.44464,                0.87505,                0.99885,                0.93293,                0.93843,                0.79798,                0.87063,                0.81098,                0.75311,                0.26874,                0.63958,                 2.9856,                0.59357,                0.54634,                0.82891,              0.0017294,              0.0017294,              0.0017294
                     44,                0.68167,                 3.0849,                0.57294,                0.44274,                0.87893,                0.99879,                0.92683,                0.93892,                0.79436,                0.91332,                0.84756,                 0.8257,                0.37048,                0.66547,                 2.7642,                0.59451,                0.42764,                0.83633,              0.0017228,              0.0017228,              0.0017228
                     45,                 0.6974,                 3.2628,                0.58458,                0.44583,                0.87961,                0.99174,                0.92073,                0.93573,                0.80305,                0.86124,                0.79878,                0.77762,                0.33905,                0.59864,                 2.7492,                0.59064,                0.47014,                0.82409,              0.0017162,              0.0017162,              0.0017162
                     46,                0.69935,                 3.0433,                 0.5705,                0.45514,                0.87597,                0.96115,                0.73171,                0.80879,                0.65339,                0.87902,                0.65854,                0.69908,                0.28597,                0.75096,                 3.8288,                  0.599,                0.81808,                 0.8932,              0.0017096,              0.0017096,              0.0017096
                     47,                0.70788,                 3.2039,                0.57333,                0.45789,                0.89384,                      1,                0.93268,                0.94686,                0.80442,                0.86768,                0.80488,                0.79332,                0.34431,                0.65444,                 2.8721,                0.58654,                0.44192,                0.83637,               0.001703,               0.001703,               0.001703
                     48,                0.69703,                 3.0502,                0.56772,                0.45696,                0.88304,                0.99809,                0.93293,                0.93571,                0.77758,                 0.8802,                0.81707,                0.76357,                0.26604,                 0.6477,                  2.974,                0.58704,                0.73404,                0.83379,              0.0016964,              0.0016964,              0.0016964
                     49,                0.65869,                 2.9417,                0.56035,                 0.4358,                0.87216,                 0.9935,                0.93175,                0.93657,                0.78722,                0.91426,                0.84528,                0.82575,                0.35395,                0.68495,                 2.8372,                0.59196,                0.54112,                0.84105,              0.0016898,              0.0016898,              0.0016898
                     50,                0.67705,                 3.0029,                0.55044,                0.43341,                0.87506,                 0.9863,                0.92683,                  0.936,                0.79944,                0.92202,                0.86585,                0.84833,                 0.3756,                0.64031,                 2.6016,                 0.5921,                0.44932,                0.84051,              0.0016832,              0.0016832,              0.0016832
                     51,                0.68825,                 3.0359,                0.55562,                0.43691,                0.87395,                0.99097,                0.92683,                0.92839,                0.79196,                0.90616,                0.84756,                0.79087,                0.33758,                0.63325,                  2.819,                0.59444,                0.67974,                0.83508,              0.0016766,              0.0016766,              0.0016766
                     52,                 0.6575,                  3.037,                0.55042,                0.43392,                0.87329,                0.99958,                0.93902,                0.94149,                0.81891,                0.91794,                0.85366,                0.84968,                0.40339,                0.62658,                  2.571,                0.58761,                0.40235,                0.82816,                0.00167,                0.00167,                0.00167
                     53,                0.66194,                 2.9235,                0.55431,                0.42171,                0.87633,                 0.9929,                0.93293,                0.93958,                0.79367,                0.93196,                0.85976,                0.84352,                0.39916,                0.65595,                 2.6813,                0.58273,                0.42344,                0.83621,              0.0016634,              0.0016634,              0.0016634
                     54,                0.65827,                 3.0009,                0.55952,                0.42825,                0.87182,                0.99318,                0.93293,                 0.9419,                0.79201,                0.84407,                0.79268,                0.78318,                0.32815,                0.71338,                  2.843,                0.59075,                0.43717,                0.83592,              0.0016568,              0.0016568,              0.0016568
                     55,                0.68311,                 2.9543,                 0.5709,                 0.4376,                0.88599,                0.99812,                0.92683,                0.94028,                0.80531,                0.88645,                0.82317,                0.76976,                0.35544,                0.61366,                 2.5575,                0.58146,                0.41492,                0.82501,              0.0016502,              0.0016502,              0.0016502
                     56,                0.66564,                  2.955,                0.56266,                0.42633,                 0.8757,                0.99355,                0.93902,                0.94585,                 0.8239,                0.87453,                0.81707,                0.79687,                0.36568,                0.61311,                 2.5724,                0.59135,                0.39439,                0.82512,              0.0016436,              0.0016436,              0.0016436
                     57,                0.67151,                 2.9772,                0.56431,                0.43873,                 0.8702,                0.99942,                0.93293,                0.93921,                0.80196,                0.87552,                0.81707,                0.79895,                0.30177,                0.66554,                 2.8864,                0.58512,                0.42864,                0.84112,               0.001637,               0.001637,               0.001637
                     58,                0.68025,                 2.9021,                0.54646,                0.44164,                0.87353,                0.99836,                0.92073,                0.93126,                0.78989,                0.88731,                0.81707,                0.78595,                0.38988,                0.66323,                  2.651,                 0.5738,                0.82759,                0.83648,              0.0016304,              0.0016304,              0.0016304
                     59,                0.66283,                 3.0386,                0.55483,                0.41632,                 0.8645,                0.99634,                0.89634,                0.91966,                0.76951,                 0.9382,                0.83314,                0.83559,                 0.3276,                0.66741,                 2.9688,                0.57958,                0.45203,                0.83996,              0.0016238,              0.0016238,              0.0016238
                     60,                0.65387,                 2.9286,                0.54934,                0.40075,                0.88008,                0.99245,                0.93293,                0.93695,                0.79571,                0.92609,                0.85976,                0.83212,                0.35701,                0.67806,                  2.673,                0.58342,                0.48791,                0.83402,              0.0016172,              0.0016172,              0.0016172
                     61,                0.63835,                 2.8864,                0.54617,                0.40377,                0.85439,                      1,                0.93458,                0.93919,                0.80768,                 0.9199,                0.84756,                0.82681,                0.36646,                0.63629,                 2.6548,                0.57974,                0.40709,                0.83321,              0.0016106,              0.0016106,              0.0016106
                     62,                0.65938,                 2.8752,                0.55779,                0.42225,                0.87196,                      1,                0.93283,                0.93663,                0.81076,                0.95248,                0.88415,                0.87595,                0.42045,                0.60064,                 2.4695,                0.57704,                0.89113,                0.82454,               0.001604,               0.001604,               0.001604
